No,frame,x,y
0.0,6.0,819.0,301.0
1.0,6.0,822.0,322.0
2.0,6.0,825.0,344.0
3.0,6.0,831.0,363.0
4.0,6.0,843.0,379.0
5.0,6.0,861.0,391.0
6.0,6.0,882.0,399.0
7.0,6.0,904.0,404.0
8.0,6.0,926.0,404.0
9.0,6.0,945.0,400.0
10.0,6.0,957.0,389.0
11.0,6.0,966.0,375.0
12.0,6.0,973.0,359.0
13.0,6.0,976.0,341.0
14.0,6.0,977.0,323.0
15.0,6.0,977.0,306.0
16.0,6.0,976.0,288.0
17.0,6.0,845.0,263.0
18.0,6.0,855.0,248.0
19.0,6.0,871.0,239.0
20.0,6.0,889.0,236.0
21.0,6.0,906.0,241.0
22.0,6.0,925.0,240.0
23.0,6.0,939.0,236.0
24.0,6.0,952.0,238.0
25.0,6.0,964.0,244.0
26.0,6.0,969.0,257.0
27.0,6.0,919.0,261.0
28.0,6.0,921.0,269.0
29.0,6.0,924.0,278.0
30.0,6.0,927.0,287.0
31.0,6.0,905.0,308.0
32.0,6.0,915.0,310.0
33.0,6.0,925.0,311.0
34.0,6.0,934.0,309.0
35.0,6.0,941.0,307.0
36.0,6.0,864.0,275.0
37.0,6.0,873.0,270.0
38.0,6.0,882.0,268.0
39.0,6.0,892.0,270.0
40.0,6.0,884.0,272.0
41.0,6.0,874.0,274.0
42.0,6.0,934.0,269.0
43.0,6.0,943.0,267.0
44.0,6.0,951.0,268.0
45.0,6.0,957.0,272.0
46.0,6.0,951.0,272.0
47.0,6.0,943.0,271.0
48.0,6.0,894.0,350.0
49.0,6.0,906.0,335.0
50.0,6.0,918.0,327.0
51.0,6.0,927.0,329.0
52.0,6.0,935.0,326.0
53.0,6.0,944.0,333.0
54.0,6.0,951.0,345.0
55.0,6.0,945.0,352.0
56.0,6.0,937.0,356.0
57.0,6.0,928.0,358.0
58.0,6.0,919.0,358.0
59.0,6.0,907.0,355.0
60.0,6.0,900.0,347.0
61.0,6.0,919.0,339.0
62.0,6.0,927.0,339.0
63.0,6.0,935.0,338.0
64.0,6.0,946.0,344.0
65.0,6.0,935.0,341.0
66.0,6.0,927.0,342.0
67.0,6.0,919.0,342.0
0.0,7.0,814.0,315.0
1.0,7.0,816.0,341.0
2.0,7.0,820.0,368.0
3.0,7.0,825.0,392.0
4.0,7.0,839.0,413.0
5.0,7.0,860.0,427.0
6.0,7.0,887.0,435.0
7.0,7.0,916.0,437.0
8.0,7.0,944.0,435.0
9.0,7.0,965.0,429.0
10.0,7.0,981.0,416.0
11.0,7.0,992.0,399.0
12.0,7.0,999.0,378.0
13.0,7.0,1001.0,356.0
14.0,7.0,1000.0,334.0
15.0,7.0,998.0,313.0
16.0,7.0,995.0,292.0
17.0,7.0,843.0,271.0
18.0,7.0,855.0,256.0
19.0,7.0,872.0,248.0
20.0,7.0,891.0,247.0
21.0,7.0,908.0,252.0
22.0,7.0,930.0,250.0
23.0,7.0,944.0,244.0
24.0,7.0,960.0,242.0
25.0,7.0,975.0,246.0
26.0,7.0,983.0,259.0
27.0,7.0,923.0,272.0
28.0,7.0,927.0,283.0
29.0,7.0,931.0,294.0
30.0,7.0,935.0,307.0
31.0,7.0,910.0,330.0
32.0,7.0,922.0,331.0
33.0,7.0,933.0,332.0
34.0,7.0,942.0,329.0
35.0,7.0,951.0,327.0
36.0,7.0,863.0,287.0
37.0,7.0,873.0,283.0
38.0,7.0,883.0,281.0
39.0,7.0,894.0,282.0
40.0,7.0,885.0,285.0
41.0,7.0,875.0,287.0
42.0,7.0,943.0,279.0
43.0,7.0,953.0,276.0
44.0,7.0,961.0,277.0
45.0,7.0,969.0,279.0
46.0,7.0,961.0,280.0
47.0,7.0,953.0,279.0
48.0,7.0,901.0,378.0
49.0,7.0,914.0,362.0
50.0,7.0,927.0,352.0
51.0,7.0,936.0,354.0
52.0,7.0,945.0,350.0
53.0,7.0,956.0,357.0
54.0,7.0,963.0,370.0
55.0,7.0,958.0,378.0
56.0,7.0,949.0,383.0
57.0,7.0,939.0,386.0
58.0,7.0,930.0,387.0
59.0,7.0,916.0,386.0
60.0,7.0,908.0,376.0
61.0,7.0,928.0,367.0
62.0,7.0,937.0,366.0
63.0,7.0,946.0,364.0
64.0,7.0,957.0,369.0
65.0,7.0,947.0,366.0
66.0,7.0,937.0,368.0
67.0,7.0,929.0,368.0
0.0,8.0,815.0,310.0
1.0,8.0,818.0,338.0
2.0,8.0,821.0,365.0
3.0,8.0,828.0,391.0
4.0,8.0,844.0,412.0
5.0,8.0,867.0,427.0
6.0,8.0,893.0,437.0
7.0,8.0,922.0,442.0
8.0,8.0,949.0,440.0
9.0,8.0,969.0,433.0
10.0,8.0,982.0,416.0
11.0,8.0,992.0,397.0
12.0,8.0,999.0,375.0
13.0,8.0,1002.0,353.0
14.0,8.0,1003.0,331.0
15.0,8.0,1001.0,310.0
16.0,8.0,998.0,289.0
17.0,8.0,847.0,275.0
18.0,8.0,859.0,259.0
19.0,8.0,877.0,251.0
