No,frame,x,y
0,28,119,158
1,28,118,166
2,28,118,174
3,28,119,183
4,28,122,190
5,28,125,197
6,28,130,204
7,28,137,207
8,28,146,208
9,28,156,208
10,28,166,205
11,28,175,200
12,28,183,194
13,28,189,186
14,28,190,175
15,28,190,164
16,28,190,154
17,28,123,137
18,28,124,131
19,28,128,128
20,28,133,126
21,28,138,128
22,28,147,126
23,28,153,122
24,28,160,121
25,28,166,124
26,28,171,129
27,28,142,137
28,28,141,140
29,28,140,144
30,28,139,148
31,28,137,160
32,28,139,160
33,28,142,160
34,28,145,159
35,28,149,158
36,28,127,145
37,28,129,142
38,28,133,141
39,28,137,142
40,28,133,144
41,28,130,144
42,28,154,139
43,28,157,136
44,28,161,136
45,28,165,138
46,28,161,139
47,28,157,139
48,28,134,181
49,28,135,174
50,28,138,170
51,28,141,170
52,28,144,169
53,28,149,172
54,28,155,179
55,28,150,181
56,28,146,182
57,28,143,183
58,28,139,183
59,28,136,183
60,28,136,180
61,28,139,175
62,28,142,174
63,28,144,174
64,28,153,178
65,28,145,178
66,28,142,178
67,28,139,178
0,29,118,156
1,29,117,164
2,29,117,172
3,29,118,181
4,29,121,189
5,29,125,195
6,29,130,201
7,29,136,205
8,29,145,206
9,29,155,206
10,29,166,204
11,29,176,200
12,29,185,194
13,29,190,186
14,29,193,176
15,29,193,165
16,29,193,154
17,29,122,135
18,29,123,130
19,29,127,127
20,29,132,125
21,29,136,127
22,29,146,125
23,29,153,122
24,29,160,121
25,29,168,124
26,29,173,130
27,29,141,135
28,29,140,139
29,29,138,142
30,29,137,146
31,29,135,158
32,29,138,158
33,29,141,158
34,29,144,157
35,29,148,157
36,29,126,143
37,29,128,140
38,29,132,139
39,29,136,140
40,29,132,141
41,29,129,142
42,29,153,138
43,29,157,136
44,29,161,136
45,29,165,138
46,29,161,139
47,29,157,139
48,29,133,178
49,29,133,171
50,29,137,167
51,29,140,167
52,29,143,166
53,29,149,169
54,29,155,177
55,29,150,179
56,29,145,180
57,29,142,180
58,29,138,180
59,29,135,180
60,29,135,177
61,29,138,172
62,29,141,172
63,29,144,171
64,29,153,176
65,29,144,175
66,29,141,175
67,29,138,175
0,30,119,155
1,30,118,162
2,30,117,170
