,frame,x,y
0,1,715,326
1,1,714,350
2,1,714,374
3,1,716,397
4,1,726,418
5,1,742,434
6,1,761,447
7,1,782,457
8,1,805,460
9,1,826,457
10,1,842,446
11,1,857,432
12,1,868,414
13,1,874,394
14,1,878,373
15,1,879,352
16,1,878,332
17,1,745,295
18,1,755,280
19,1,770,272
20,1,787,273
21,1,801,281
22,1,827,284
23,1,841,279
24,1,854,281
25,1,865,290
26,1,867,305
27,1,815,308
28,1,816,322
29,1,818,336
30,1,819,351
31,1,795,365
32,1,805,367
33,1,814,370
34,1,824,368
35,1,832,366
36,1,762,311
37,1,771,308
38,1,780,308
39,1,788,313
40,1,780,313
41,1,771,312
42,1,831,315
43,1,840,312
44,1,847,313
45,1,853,318
46,1,847,318
47,1,839,317
48,1,779,395
49,1,793,389
50,1,805,386
51,1,814,388
52,1,823,386
53,1,832,391
54,1,840,397
55,1,832,404
56,1,822,407
57,1,813,408
58,1,804,407
59,1,792,403
60,1,783,395
61,1,805,392
62,1,813,394
63,1,822,393
64,1,836,396
65,1,822,397
66,1,813,398
67,1,805,397
0,2,719,327
1,2,717,350
2,2,716,373
3,2,719,396
4,2,728,417
5,2,743,434
6,2,762,448
7,2,784,458
8,2,806,461
9,2,827,458
10,2,844,446
11,2,858,433
12,2,869,416
13,2,876,396
14,2,880,376
15,2,881,356
16,2,880,336
17,2,748,299
18,2,757,283
19,2,774,276
20,2,791,276
21,2,806,284
22,2,829,287
23,2,843,283
24,2,857,285
25,2,869,293
26,2,872,308
27,2,819,311
28,2,820,325
29,2,821,338
30,2,822,352
31,2,797,365
32,2,807,368
33,2,817,370
34,2,826,369
35,2,834,367
36,2,765,314
37,2,775,311
38,2,783,311
39,2,792,316
40,2,784,316
41,2,774,316
42,2,835,319
43,2,845,315
44,2,853,316
45,2,859,321
46,2,852,321
47,2,844,320
48,2,778,397
49,2,794,390
50,2,807,387
51,2,815,390
52,2,823,388
53,2,833,392
54,2,842,398
55,2,833,404
56,2,823,408
57,2,814,409
58,2,806,408
59,2,793,404
60,2,783,396
61,2,807,394
62,2,814,395
63,2,823,395
64,2,837,397
65,2,823,399
66,2,814,400
67,2,807,399
0,3,719,326
1,3,719,349
2,3,719,373
3,3,722,397
4,3,733,417
5,3,749,434
6,3,768,448
7,3,789,457
8,3,812,459
9,3,832,455
10,3,848,443
11,3,862,429
12,3,872,412
13,3,878,392
14,3,881,373
15,3,883,353
